id,Name,Description,Status,Author,Folder,Run_status,last run,created at,updated at,Tags,Sub-Component,Component,Level,Comments,Step name,Step description,Step expected_results,Step position
2,Facebook login,"",Automated,Shiran Dadon,,PASSED,24-Apr-2019  12:24,27-Feb-2019  19:27,20-Mar-2019  15:02,"",Login,Conversation,Sanity,"",Testing facebook login,"1)Go to:https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click login
3)Choose Facebook",You will be logged in as the facebook user,1
3,Twitter login,"",Ready,Shiran Dadon,,PASSED,24-Apr-2019  12:32,27-Feb-2019  19:27,24-Apr-2019  10:00,"",Login,Conversation,Sanity,"",Testing Twitter login,"1)Go to:https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click login
3)Choose Twitter, and use the QA twitter account:
qa@spot.im
1q2w3e",You will be logged in as the twitter user,1
4,Google login,"",Automated,Shiran Dadon,,PASSED,24-Apr-2019  12:34,27-Feb-2019  19:27,20-Mar-2019  15:02,"",Login,Conversation,Sanity,"",Testing google login,"1)Go to:https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click login
3)Choose google",You will be logged in as the email user,1
5,Email login,"",Automated,Shiran Dadon,,PASSED,24-Apr-2019  12:34,27-Feb-2019  19:27,20-Mar-2019  13:47,"",Login,Conversation,Sanity,"",Testing emai login,"1)Go to:https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click login
3)Choose email
4)Go to tab login
5)Enter username and passwork
6)Click log in",You will be logged as the email user,1
6,Sign up - login modal,"",Ready,Shiran Dadon,,NO RUN,24-Apr-2019  13:32,27-Feb-2019  19:27,25-Apr-2019  07:39,"",Registration,Conversation,,"","","1)Go to:https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click login
3)Choose sign up
5)Enter the credentials and click sign up",1)The user will be signed up,1
7,Sign up - guest user after comment,"","",Shiran Dadon,,PASSED,07-Apr-2019  13:13,27-Feb-2019  19:27,27-Feb-2019  19:27,"",Registration,Conversation,,"","","1)Go to:https://preview.c9users.io/borisyuz/staging_env/Manual/post1.html as guest
2)Add a comment
3)add a user name click next
4)add email
3)Verify the captcha and click next","1)Create you profile will appear under the say control
2)You will be signed up as the new user",1
8,Add a Comment,"",Automated,Shiran Dadon,,PASSED,23-Apr-2019  14:17,27-Feb-2019  19:27,20-Mar-2019  15:02,"",Moderation,Conversation,Sanity,"","Testing the ability to add a Comment
Comment - is a feature in the conversation that let's a user add a comment and contribute","1)Go to: https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click on SayConrol
3)write a comment
4)Click ""post""",The Comment will be added to the feed,1
9,Comment - rich editor,"",Automated,Shiran Dadon,,PASSED,07-Apr-2019  13:13,27-Feb-2019  19:27,29-Mar-2019  07:49,"",SayCTL,Conversation,,"",Testing the ability the rich edit a comment in the Comment sayCtrl,"1)Go to: https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click on SayConrol
3)write a comment
4)Click the rich editor
5)Edit the text
6)Click ""post""",The Comment with rich text will be added to the feed,1
10,Comment - GIF,"",Ready,Shiran Dadon,,PASSED,23-Apr-2019  14:15,27-Feb-2019  19:27,21-Apr-2019  12:05,"",SayCTL,Conversation,Sanity,"",Testing the ability to add a gif in the Comment,"1)Go to: https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click on SayConrol
3)write a comment
4)Click on the GIF icon
5)Choose a gif
6)Click ""post""","1)When you choose a gif a preview of the gif will show under the comment
2)The Comment will be added with a GIF",1
"","","","","","","","","","","","","","","",Testing the ability to add a gif as a reply,"1)Go to: https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click on Reply to one of the comments
3)write a comment
4)Click on the GIF icon
5)Choose a gif
6)Click ""post""","1)When you choose a gif a preview of the gif will show under the reply
2)The reply will be added with a GIF",2
11,Comment - photo,"","",Shiran Dadon,,PASSED,07-Apr-2019  12:50,27-Feb-2019  19:27,27-Feb-2019  19:27,"",SayCTL,Conversation,,"",Testing the ability to add a photo in the Comment,"1)Go to: https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click on SayConrol
3)write a comment
4)Click on the camera icon
5)Choose a photo
6)Click ""post""","1)When you choose a preview of the photo will show under the comment
2)The Comment will be added with a photo",1
12,Comment - youtube extract,"",Ready,Shiran Dadon,,PASSED,23-Apr-2019  14:17,27-Feb-2019  19:27,05-Apr-2019  07:33,"",SayCTL,Conversation,Sanity,"",Testing the Ability of the Comment sayCtrl to extract,"1)Go to: https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click on SayConrol
3)Add a youtube link
4)Click ""post""","1)The link will be extracted and you will the extract
2)The Comment will be added with the link's extract",1
13,Comment - Twitter extract,"",Ready,Shiran Dadon,,PASSED,23-Apr-2019  14:18,27-Feb-2019  19:27,05-Apr-2019  07:33,"",SayCTL,Conversation,Sanity,"",Testing the Ability of the Comment sayCtrl to extract,"1)Go to: https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click on SayConrol
3)Add a twitter link
4)Click ""post""","1)The link will be extracted and you will the extract
2)The Comment will be added with the link's extract",1
14,Comment - Instagram Extract,"",Ready,Shiran Dadon,,PASSED,23-Apr-2019  14:18,27-Feb-2019  19:27,05-Apr-2019  07:33,"",SayCTL,Conversation,Sanity,"","","1. Go to the conversation, for example, https://preview.c9users.io/borisyuz/staging_env/Manual/post1.html
2. Enter a comment with a link from Instagram, for example https://www.instagram.com/p/Br9CU4Xg9kg/",SayCTRL shows an extract of the Instagram page,1
15,Comment - Article extract,"",Ready,Shiran Dadon,,PASSED,23-Apr-2019  14:16,27-Feb-2019  19:27,05-Apr-2019  07:33,"",SayCTL,Conversation,Sanity,"",Testing the Ability of the Comment sayCtrl to extract,"1)Go to: https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click on SayConrol
3)Add an article link
4)Click ""post""","1)The link will be extracted and you will the extract
2)The Comment will be added with the link's extract",1
