"D","E","F","G"
"","","",""
"","","",""
"","","",""
"","","",""
"Title","Description","Test steps","Expected result"
"Facebook login","Testing facebook login","1)Go to:https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click login
3)Choose Facebook","You will be logged in as the facebook user"
"Twitter login","Testing facebook login","1)Go to:https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click login
3)Choose Twitter","You will be logged in as the twitter user"
"Google login","Testing google login","1)Go to:https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click login
3)Choose google","You will be logged in as the email user"
"Email login","Testing emai login","1)Go to:https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click login
3)Choose email
4)Go to tab login
5)Enter username and passwork
6)Click log in","You will be logged as the email user"
"Sign up - login modal","","1)Go to:https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click login
3)Choose email
4)Go to tab sign up tab
5)Enter the credentials and click sign up","1)The user will be signed up"
"Sign up - guest user after comment","","1)Go to:https://preview.c9users.io/borisyuz/staging_env/Manual/post1.html as guest
2)Add a comment
3)add a user name click next
4)add email
3)Verify the captcha and click next","1)Create you profile will appear under the say control
2)You will be signed up as the new user"
"Add a Comment","Testing the ability to add a Comment
Comment - is a feature in the conversation that let's a user add a comment and contribute","1)Go to: https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click on SayConrol
3)write a comment
4)Click ""post""","The Comment will be added to the feed"
"Comment - rich editor","Testing the ability the rich edit a comment in the Comment sayCtrl","1)Go to: https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click on SayConrol
3)write a comment
4)Click the rich editor
5)Edit the text
6)Click ""post""","The Comment with rich text will be added to the feed"
"Comment - GIF","Testing the ability to add a gif in the Comment","1)Go to: https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click on SayConrol
3)write a comment
4)Click on the GIF icon
5)Choose a gif
6)Click ""post""","1)When you choose a gif a preview of the gif will show under the comment
2)The Comment will be added with a GIF"
"Comment - photo","Testing the ability to add a photo in the Comment","1)Go to: https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click on SayConrol
3)write a comment
4)Click on the camera icon
5)Choose a photo
6)Click ""post""","1)When you choose a preview of the photo will show under the comment
2)The Comment will be added with a photo"
"Comment - youtube extract","Testing the Ability of the Comment sayCtrl to extract","1)Go to: https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click on SayConrol
3)Add a youtube link
4)Click ""post""","1)The link will be extracted and you will the extract
2)The Comment will be added with the link's extract"
"Comment - Twitter extract","Testing the Ability of the Comment sayCtrl to extract","1)Go to: https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click on SayConrol
3)Add a twitter link
4)Click ""post""","1)The link will be extracted and you will the extract
2)The Comment will be added with the link's extract"
