"Test suite name","Customized Publisher Regression"
"Created on","2019-01-29 08:22:22 UTC"
"Updated on","2019-03-01 11:42:17 UTC"


"Id","Section","Test case number","Title","Description","Test steps","Expected result","Created at","Updated at"
"2368867","Comment ","TC499","Add a Comment","Testing the ability to add a Comment
Comment - is a feature in the conversation that let's a user add a comment and contribute","1)Go to: The publisher's conversation
2)Click on SayConrol
3)write a comment
4)Click ""post""","The Comment will be added to the feed","2019-01-29 08:23:54 UTC","2019-01-29 08:27:10 UTC"
"2368868","Comment ","TC500","Comment - rich editor","Testing the ability the rich edit a comment in the Comment sayCtrl","1)Go to: The publisher's conversation
2)Click on SayConrol
3)write a comment
4)Click the rich editor
5)Edit the text
6)Click ""post""","The Comment with rich text will be added to the feed","2019-01-29 08:23:54 UTC","2019-01-29 08:27:18 UTC"
"2368870","Comment ","TC502","Comment - Edit","Testing the ability to update a comment.
Edit -  is a feature that lets the user change their comment after they clicking post.","1)Go to: The publisher's conversation
2)Click on SayConrol
3)write a comment
4)Click ""post""
5)click edit
6)Change the comment
7)Click update","1)After clicking edit - a SayCtrl will appear with the comment the user wants to update
2)After clicking update the new text will appear in the conversation, and ""edited"" 
will appear next to the timestamp","2019-01-29 08:23:54 UTC","2019-01-29 08:32:26 UTC"
"2368914","Comment ","TC530","Comment - Edit after 5 minutes","Testing the ability to update a comment.
Edit - is a feature that lets the user change their comment after they clicking post.
In TOL you cannot edit after 5 minutes","1)Go to: The publisher's conversation
2)Click on SayConrol
3)write a comment
4)Click ""post""
5)Wait 5 minutes
5)Choose edit","You will not have the option to edit after 5 minutes","2019-01-29 08:32:05 UTC","2019-01-29 08:32:05 UTC"
"2368871","Comment ","TC503","Comment - Edit - cancel","Testing the ability to update a comment.
Edit -  is a feature that lets the user change their comment after they clicking post.","1)Go to: The publisher's conversation
2)Click on SayConrol
3)write a comment
4)Click ""post""
5)click edit
6)Change the comment
7)Click update
8)Change the comment
9)Click cancel","1)Your comment will not be changed","2019-01-29 08:23:54 UTC","2019-01-29 08:32:50 UTC"
"2368872","Comment ","TC504","Comment - Delete","Testing the ability to delete a comment
Delete - is a feature that lets the user delete their comment after posting it.","1)Go to: https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click on SayConrol
3)write a comment
4)Click ""post""
5)click delete
6)refresh the page","1)The comment will be deleted
2)After the refresh the comment will still not appear","2019-01-29 08:23:54 UTC","2019-01-29 08:36:42 UTC"
"2401371","Comment ","TC677","Comment - Cancel","Verify Cancel button for publishers who have it","1. On the sun, we implemented a Cancel button for the SayCTL: https://drive.google.com/drive/folders/1HDEdUTqeMdPY1XAXkR6V3fb8_oGy5DA8
1. Go to https://preview.c9users.io/borisyuz/staging_env/sun/post1.html
2. Open main SayCTL, and write some text
3. Click Cancel","SatCTL is minimized to the original state","2019-03-01 11:40:46 UTC","2019-03-01 11:40:46 UTC"
"2368873","Reply","TC505","Add a reply","Testing if adding a reply works
reply - is a feature in the conversation that lets a user reply to a comment or reply to a reply","1)Go to: The publisher's website
2)To a comment click reply
3)write a reply
4)Click ""post""","The reply will be added with an indentation","2019-01-29 08:23:54 UTC","2019-01-29 08:37:01 UTC"
"2368874","Reply","TC506","Reply - Update","Testing the ability to update a reply.
Edit - is a feature that lets the user change their reply after they clicking post.","1)Do TC505
2)Choose edit
3)Change the comment
4)Click update","1)After clicking edit - a SayCtrl will appear with the reply the user wants to update
2)After clicking update the new text will appear in the conversation","2019-01-29 08:23:54 UTC","2019-01-29 08:37:36 UTC"
"2368875","Reply","TC507","Reply - Delete","Testing the ability to delete a reply
Delete - is a feature that lets the user delete their reply after posting it.","1)Do TC505
2)Hover over the reply
3)Choose delete
4)refresh the page","1)The reply will be deleted
2)After the refresh the reply will still not appear","2019-01-29 08:23:54 UTC","2019-01-29 08:37:54 UTC"
